,sex,whole_weight,rings
1302,I,0.5765,8
1303,F,0.7145,9
1304,M,0.717,9
1305,F,0.8655,10
1306,I,0.7265,9
1307,I,0.7715,8
1308,F,0.8,9
1309,I,0.7285,10
1310,I,0.5945,8
1311,I,0.7895,11
1312,F,0.651,9
1313,M,0.8745,9
1314,I,0.7535,10
1315,I,0.7305,9
1316,M,0.8705,9
1317,I,0.7395,10
1318,I,0.7665,9
1319,I,0.7905,9
1320,I,0.8205,9
1321,I,0.688,9
1322,F,1.224,10
1323,I,0.974,9
1324,I,0.8735,11
1325,F,0.8495,8
1326,M,0.796,8
1327,M,0.744,11
1328,I,0.751,10
1329,I,0.794,8
1330,F,0.9795,9
1331,M,0.873,10
1332,I,0.7665,10
1333,M,0.8965,9
1334,F,0.857,10
1335,F,1.078,9
1336,M,0.892,10
1337,M,1.4395,10
1338,M,0.7955,10
1339,F,0.858,8
1340,M,0.9145,9
1341,M,1.171,10
1342,I,1.0505,10
1343,M,1.1135,10
1344,M,1.409,10
1345,M,1.065,10
1346,M,0.7995,8
1347,I,0.7715,9
1348,M,1.187,9
1349,M,0.8855,10
1350,F,0.98,10
1351,F,1.026,12
1352,M,1.1315,10
1353,M,1.014,11
1354,I,1.12,10
1355,F,1.04,11
1356,F,0.8895,10
1357,M,0.9595,11
1358,I,1.238,11
1359,M,0.9755,10
1360,I,0.9025,11
1361,F,1.076,9
1362,F,1.0835,12
1363,M,0.871,10
1364,M,1.244,12
1365,M,1.0265,10
1366,I,0.9605,9
1367,M,1.137,10
1368,M,1.0,10
1369,F,1.004,10
1370,M,1.128,10
1371,M,1.054,10
1372,F,1.023,12
1373,M,1.129,10
1374,M,1.118,9
1375,F,1.115,10
1376,M,1.2815,10
1377,M,1.2555,12
1378,F,1.293,10
1379,F,1.1295,10
1380,M,1.082,9
1381,F,1.15,11
1382,F,1.264,9
1383,F,1.2035,12
1384,F,1.3205,9
1385,I,1.272,11
1386,M,1.062,12
1387,I,1.0605,10
1388,M,1.093,12
1389,M,1.101,10
1390,F,1.4595,9
1391,F,1.211,9
1392,M,1.1935,10
1393,M,0.986,10
1394,M,1.521,15
1395,M,1.3135,10
1396,M,1.1835,11
1397,M,1.401,10
1398,M,1.5075,11
1399,F,1.16,11
1400,F,1.662,11
1401,M,1.5365,11
1402,M,1.542,9
1403,F,1.567,10
1404,F,1.3595,10
1405,M,1.6445,13
1406,F,1.4545,10
1407,M,1.3585,10
1408,F,1.548,10
1409,F,1.337,10
1410,F,1.491,10
1411,F,1.5615,11
1412,F,1.0145,10
1413,M,1.7375,13
1414,M,1.7925,9
1415,F,1.7635,11
1416,F,1.556,12
1417,M,2.21,10
1418,M,2.141,11
1419,F,1.5345,12
1420,F,1.614,11
1421,F,1.9335,13
1422,M,2.173,12
1423,F,1.737,11
1424,F,1.7375,11
1425,F,2.1275,12
1426,F,2.25,9
1427,F,2.5085,14
1428,F,2.255,14
1429,I,0.014,3
1430,I,0.0515,4
1431,I,0.2215,7
1432,I,0.1985,5
1433,I,0.232,6
1434,I,0.3155,7
1435,I,0.247,5
1436,I,0.3025,5
1437,I,0.329,6
1438,I,0.2815,7
1439,I,0.3425,8
1440,I,0.2825,7
1441,I,0.304,6
1442,I,0.2905,5
1443,M,0.3895,9
1444,I,0.389,6
1445,I,0.4405,6
1446,I,0.369,5
1447,M,0.4565,8
1448,I,0.4465,9
1449,M,0.4475,6
1450,I,0.501,7
1451,I,0.436,8
1452,I,0.4615,9
1453,I,0.4315,6
1454,I,0.3685,6
1455,M,0.649,8
1456,I,0.459,7
1457,F,0.566,7
1458,I,0.542,7
1459,I,0.4725,6
1460,M,0.6435,8
1461,M,0.526,6
1462,F,0.573,7
1463,M,0.5525,9
1464,F,0.6855,9
1465,I,0.556,8
1466,M,0.9365,8
1467,I,0.5625,7
1468,M,0.559,8
1469,M,0.7205,8
1470,I,0.7045,9
1471,M,0.7575,8
1472,F,0.7405,9
1473,F,0.84,8
1474,M,0.793,9
1475,F,0.8745,8
1476,F,0.8715,9
1477,M,0.9875,8
1478,M,1.08,9
1479,M,0.9155,8
1480,F,1.165,9
1481,F,0.953,9
1482,M,0.906,8
1483,M,0.8725,8
1484,F,1.151,9
1485,F,0.9905,8
1486,F,1.04,9
1487,M,0.945,8
1488,M,1.259,9
1489,F,0.9515,11
1490,F,1.201,9
1491,F,1.289,9
1492,F,1.1005,11
1493,I,0.8425,8
1494,M,1.049,10
1495,F,1.012,8
1496,M,1.0725,9
1497,M,1.4105,10
1498,M,1.136,11
1499,M,1.1005,9
1500,F,1.1105,10
1501,M,1.1315,9
1502,M,1.271,11
1503,F,1.336,10
1504,F,1.1345,10
1505,M,1.308,8
1506,F,1.5335,9
1507,F,1.546,10
1508,M,1.539,11
1509,F,1.318,11
1510,F,1.5245,10
1511,M,1.466,10
1512,F,1.3825,9
1513,M,1.175,8
1514,F,1.5555,11
1515,M,1.7835,11
1516,M,1.374,10
1517,F,1.389,10
1518,M,1.7025,11
1519,M,1.5265,10
1520,M,1.519,10
1521,F,1.741,12
1522,M,1.6115,11
1523,M,1.7825,12
1524,F,1.684,11
1525,M,1.858,11
1526,M,1.675,10
1527,M,2.1055,12
1528,M,2.21,13
1529,M,1.8725,10
1530,M,1.893,11
1531,I,0.0475,5
1532,I,0.101,5
1533,I,0.121,6
1534,I,0.117,6
1535,I,0.1465,6
1536,I,0.168,5
1537,I,0.18,5
1538,I,0.1775,6
1539,I,0.1985,7
1540,I,0.2,8
1541,I,0.2205,7
1542,I,0.1845,7
1543,I,0.2225,7
1544,I,0.2175,6
1545,I,0.2165,7
1546,I,0.243,7
1547,I,0.237,6
1548,I,0.2365,8
1549,I,0.257,7
1550,I,0.308,8
1551,I,0.252,7
1552,I,0.281,7
1553,I,0.2225,7
1554,I,0.304,8
1555,I,0.28,8
1556,I,0.313,7
1557,I,0.317,8
1558,I,0.303,7
1559,I,0.3295,7
1560,I,0.367,6
1561,I,0.3245,8
1562,I,0.4195,7
1563,I,0.457,10
1564,I,0.4,7
1565,I,0.4255,7
1566,I,0.4365,9
1567,I,0.393,8
1568,I,0.499,8
1569,I,0.6325,8
1570,M,0.4285,7
1571,I,0.4905,8
1572,I,0.474,9
1573,I,0.536,8
1574,M,0.464,8
1575,I,0.6025,7
1576,I,0.4615,8
1577,I,0.624,8
1578,I,0.4715,8
1579,I,0.602,8
1580,I,0.616,8
1581,I,0.5955,8
1582,I,0.559,9
1583,I,0.6025,7
1584,F,0.6065,6
1585,I,0.4725,9
1586,I,0.4745,10
1587,I,0.6635,8
1588,I,0.5705,8
1589,I,0.646,9
1590,I,0.5545,7
1591,M,0.845,8
1592,I,0.664,9
1593,I,0.615,8
1594,I,0.654,7
1595,M,0.707,9
1596,I,0.5965,7
1597,I,0.6255,10
1598,I,0.555,9
1599,I,0.8365,11
1600,I,0.657,7
1601,I,0.836,9
1602,I,0.742,9
1603,I,0.8195,9
1604,M,0.972,10
1605,I,0.6275,9
1606,I,0.7205,10
1607,I,0.686,8
1608,I,0.686,9
1609,I,0.543,8
1610,I,0.717,8
1611,M,0.7625,10
1612,I,0.639,9
1613,I,0.816,12
1614,I,0.7815,8
1615,I,0.7665,8
1616,I,0.5585,9
1617,I,0.765,8
1618,I,0.9005,11
1619,I,0.8225,10
1620,I,0.7235,8
1621,M,0.849,10
1622,I,0.743,9
1623,F,0.863,9
1624,M,0.802,9
1625,M,0.831,10
1626,F,0.7805,8
1627,M,0.795,9
1628,I,0.848,9
1629,I,0.833,10
1630,I,0.867,9
1631,I,0.7405,12
1632,M,0.867,8
1633,I,0.7965,10
1634,F,1.116,10
1635,I,0.78,9
1636,M,0.985,10
1637,F,0.9965,8
1638,I,0.8015,9
1639,I,0.807,10
1640,F,1.0305,8
1641,M,0.839,9
1642,M,0.9615,13
1643,F,0.834,8
1644,M,1.0335,10
1645,M,0.798,10
1646,I,0.7095,9
1647,F,0.913,10
1648,M,1.207,10
1649,I,1.022,10
1650,I,0.9015,11
1651,F,0.9,8
1652,M,0.838,10
1653,M,0.959,10
1654,I,0.8335,8
1655,F,0.9735,8
1656,F,1.13,9
1657,M,0.9165,9
1658,I,0.9175,8
1659,F,1.0645,10
1660,M,1.059,9
1661,M,1.194,10
1662,F,0.9775,9
1663,M,0.884,8
1664,I,0.8025,9
1665,F,0.991,8
1666,F,0.974,9
1667,F,1.434,11
1668,M,0.983,10
1669,F,1.0725,10
1670,F,1.2405,12
1671,M,1.022,9
1672,F,1.1155,10
1673,I,0.9225,9
1674,M,1.1185,9
1675,F,1.2795,7
1676,M,1.0175,10
1677,M,1.224,9
1678,I,1.154,12
1679,F,1.3255,12
1680,M,1.221,13
1681,F,1.139,11
1682,I,1.066,11
1683,F,1.2215,12
1684,I,0.8565,9
1685,I,0.924,10
1686,M,1.266,12
1687,F,1.0405,9
1688,M,1.1165,11
1689,M,1.0845,10
1690,M,1.0985,9
1691,I,1.1955,12
1692,F,1.362,10
1693,I,1.044,9
1694,M,1.0915,9
1695,F,1.1965,8
1696,M,1.1745,11
1697,M,1.233,10
1698,M,1.2695,11
1699,I,1.489,13
1700,M,1.4345,12
1701,F,1.2435,10
1702,F,1.2615,9
1703,F,1.2235,10
1704,M,1.247,10
1705,M,1.707,11
1706,M,1.1605,10
1707,M,1.286,12
1708,M,1.5595,14
1709,M,1.4745,9
1710,M,1.226,10
1711,M,1.33,9
1712,F,1.2415,9
1713,M,1.3375,10
1714,F,1.363,10
1715,M,1.2215,9
1716,F,1.371,12
1717,F,1.337,9
1718,M,1.274,11
1719,M,1.488,11
1720,M,1.3835,9
1721,M,1.274,10
1722,F,1.043,9
1723,F,1.3485,12
1724,F,1.4405,11
1725,M,1.3195,9
1726,F,1.5175,12
1727,M,1.5505,10
1728,M,1.6375,14
1729,M,1.443,11
1730,M,1.289,11
1731,F,1.2915,11
1732,M,1.3725,12
1733,M,1.2975,9
1734,M,1.2585,12
1735,M,1.39,11
1736,F,1.32,13
1737,F,1.566,10
1738,F,1.619,11
1739,M,1.2835,13
1740,F,1.382,10
1741,M,1.4535,10
1742,F,1.6075,11
1743,M,1.3735,11
1744,F,1.638,11
1745,F,1.569,12
1746,M,1.8565,10
1747,F,1.773,15
1748,F,1.58,11
1749,M,2.009,11
1750,F,1.9805,12
1751,F,1.5805,10
1752,M,2.015,11
1753,M,1.8275,10
1754,M,2.125,13
1755,F,1.445,7
1756,F,2.1425,14
1757,F,1.9425,11
1758,M,1.747,11
1759,F,2.119,12
1760,F,1.938,11
1761,M,2.2205,12
1762,M,2.5155,12
1763,M,2.7795,12
1764,I,0.2315,5
1765,I,0.394,6
1766,F,0.597,7
1767,M,0.564,7
1768,I,0.5965,8
1769,M,0.414,7
1770,I,0.422,6
1771,I,0.82,8
1772,I,0.434,8
1773,I,0.7615,10
1774,M,0.5795,7
1775,I,0.5205,8
1776,M,0.968,9
1777,I,0.869,9
1778,F,0.8795,8
1779,M,1.0615,9
1780,M,0.9225,9
1781,M,1.007,8
1782,M,0.9605,10
1783,M,0.65,7
1784,M,0.7545,8
1785,F,0.771,8
1786,I,1.0835,8
1787,I,0.8935,8
1788,F,1.358,10
1789,F,1.1185,9
1790,F,1.205,10
1791,M,1.3405,10
1792,M,1.02,9
1793,M,1.025,10
1794,I,0.8145,10
1795,F,1.48,10
1796,M,0.953,10
1797,I,0.8915,8
1798,M,1.3005,11
1799,M,1.038,9
1800,M,1.2525,9
1801,M,1.15,10
1802,F,1.1135,11
1803,F,1.1155,10
1804,M,1.0865,10
1805,M,1.254,9
1806,M,1.169,11
1807,M,1.172,11
1808,F,1.1845,10
1809,F,1.0725,8
1810,M,1.3815,9
1811,M,1.6125,11
1812,M,1.7395,10
1813,F,1.5475,9
1814,M,1.4245,10
1815,F,1.3405,11
1816,F,1.4465,10
1817,F,1.5845,9
1818,F,1.679,10
1819,M,1.726,11
1820,F,1.5395,13
1821,F,2.073,9
1822,M,1.5865,11
1823,M,2.069,11
1824,I,0.027,5
1825,I,0.0555,4
1826,I,0.1275,7
1827,I,0.1885,6
1828,I,0.2,7
1829,I,0.197,6
1830,I,0.223,7
1831,I,0.2215,6
1832,I,0.2665,8
1833,I,0.269,6
1834,I,0.2805,7
1835,I,0.3305,7
1836,I,0.2815,6
1837,I,0.2805,6
1838,I,0.311,8
1839,I,0.368,11
1840,I,0.3405,8
1841,I,0.3245,7
1842,I,0.38,7
1843,I,0.335,8
1844,I,0.3215,7
1845,I,0.358,8
1846,I,0.445,7
1847,I,0.487,8
1848,I,0.4535,9
1849,I,0.568,7
1850,I,0.5155,8
1851,I,0.457,9
1852,I,0.5095,8
1853,I,0.5,8
1854,I,0.494,8
1855,I,0.5605,9
1856,I,0.599,11
1857,I,0.7045,8
1858,F,0.7005,10
1859,I,0.7125,10
1860,I,0.6725,10
1861,M,0.5785,8
1862,I,0.5185,8
1863,I,0.6375,9
1864,I,0.5805,9
1865,I,0.6645,7
1866,I,0.581,10
1867,I,0.596,9
1868,I,0.6965,8
1869,I,0.6095,9
1870,I,0.677,8
1871,I,0.7245,9
1872,I,0.575,9
1873,I,0.632,9
1874,I,1.0015,9
1875,F,0.9455,9
1876,I,0.6555,9
1877,I,0.6255,8
1878,I,0.8145,10
1879,I,0.687,9
1880,I,0.7995,10
1881,I,0.804,6
1882,M,0.7495,8
1883,M,0.599,8
1884,M,0.7075,7
1885,I,0.738,9
1886,M,0.837,9
1887,I,0.832,9
1888,F,0.8305,11
1889,M,0.667,7
1890,M,0.9355,11
1891,I,0.8445,9
1892,M,0.895,9
1893,I,0.8715,10
1894,M,1.0005,11
1895,M,0.832,11
1896,M,0.9415,9
1897,M,0.88,13
1898,F,0.803,9
1899,M,0.785,9
1900,M,0.9765,9
1901,M,0.992,10
1902,M,1.013,11
1903,M,0.876,10
1904,F,1.099,9
1905,I,0.8715,10
1906,I,0.8245,11
1907,F,0.7955,9
1908,M,0.857,9
1909,F,0.8265,9
1910,F,0.925,10
1911,M,1.0465,10
1912,I,0.7905,10
1913,M,0.8295,9
1914,M,0.886,10
1915,F,0.97,11
1916,M,1.1805,11
1917,M,0.99,10
1918,F,1.133,11
1919,I,1.071,10
1920,F,0.862,9
1921,M,1.1155,10
1922,M,1.031,8
1923,F,1.1185,10
1924,F,0.957,8
1925,F,1.1785,11
1926,M,1.0285,11
1927,M,1.0875,9
1928,F,1.255,12
1929,M,1.219,10
1930,M,1.035,11
1931,M,1.195,9
1932,F,1.062,11
1933,M,1.5145,15
1934,M,1.309,9
1935,M,1.0295,12
1936,M,1.0485,11
1937,M,1.331,9
1938,M,1.1565,10
1939,F,1.09,11
1940,F,1.354,11
1941,F,0.984,11
1942,M,1.2525,9
1943,F,1.2695,11
1944,F,1.3405,11
1945,F,1.2895,11
1946,M,1.195,12
1947,M,1.273,12
1948,M,1.229,10
1949,M,1.1895,11
1950,F,1.1145,10
1951,F,1.3115,10
1952,I,1.1,10
1953,M,1.1285,9
1954,F,1.4195,11
1955,F,1.6195,12
1956,M,1.32,11
1957,F,1.5535,16
1958,I,1.238,10
1959,F,1.189,13
1960,F,1.375,10
1961,F,1.412,11
1962,F,1.348,10
1963,M,1.1445,9
1964,F,1.4415,10
1965,M,1.218,11
1966,F,1.2475,10
1967,M,1.2695,12
1968,M,1.429,12
1969,F,1.4015,12
1970,M,1.312,11
1971,F,1.473,11
1972,M,1.623,12
1973,M,1.534,10
1974,M,1.3845,10
1975,M,1.6915,11
1976,M,1.5715,13
1977,F,1.773,13
1978,M,1.4405,12
1979,M,1.6245,13
1980,F,1.866,10
1981,F,1.6705,12
1982,M,2.081,11
1983,F,1.6195,11
1984,F,1.8325,11
1985,M,2.173,13
1986,I,0.029,4
1987,I,0.0195,4
1988,I,0.0465,5
1989,I,0.1195,6
1990,I,0.0895,7
1991,I,0.0935,6
1992,I,0.1115,5
1993,I,0.1195,6
1994,I,0.097,6
1995,I,0.133,6
1996,I,0.1745,7
1997,I,0.1695,6
1998,I,0.17,7
1999,I,0.1605,6
2000,I,0.271,9
2001,I,0.2185,6
2002,I,0.196,7
2003,I,0.226,6
2004,I,0.22,7
2005,I,0.3,7
2006,I,0.2875,7
2007,I,0.316,8
2008,I,0.3675,7
2009,I,0.3675,8
2010,I,0.346,7
2011,M,0.4955,8
2012,I,0.4675,7
2013,M,0.522,10
2014,I,0.441,10
2015,I,0.5185,8
2016,M,0.653,9
2017,M,0.5915,12
2018,M,0.4825,10
2019,I,0.6855,9
2020,M,0.6335,9
2021,M,0.6875,9
2022,F,0.741,9
2023,F,0.6355,9
2024,M,0.8395,11
2025,F,0.9205,10
2026,F,0.8215,9
2027,M,0.9255,9
2028,F,0.8295,10
2029,M,1.063,9
2030,M,1.115,10
2031,F,0.837,10
2032,M,0.982,12
2033,M,1.112,10
2034,F,1.3485,14
2035,M,1.5655,9
2036,I,0.086,5
2037,I,0.1065,5
2038,I,0.132,5
2039,I,0.1075,6
2040,I,0.1745,8
2041,I,0.152,8
2042,I,0.2755,8
2043,I,0.293,7
2044,F,0.368,7
2045,I,0.312,8
2046,I,0.336,7
2047,I,0.355,6
2048,I,0.379,9
2049,I,0.378,8
2050,M,0.4655,8
2051,F,0.594,8
2052,M,0.4935,8
2053,M,0.4595,7
2054,M,0.4955,7
2055,I,0.4325,9
2056,F,0.689,7
2057,I,0.5465,8
2058,M,0.617,8
2059,I,0.538,8
2060,M,0.7815,9
2061,F,0.6355,8
2062,M,0.6435,7
2063,M,0.5115,8
2064,M,0.738,8
2065,F,0.699,8
2066,F,0.7655,10
2067,F,0.7505,9
2068,F,0.844,9
2069,M,0.8705,9
2070,I,0.668,11
2071,F,0.83,9
2072,M,0.8685,8
2073,F,0.839,7
2074,F,1.079,11
2075,M,0.919,9
2076,F,1.1345,10
2077,F,0.909,8
2078,M,1.2435,8
2079,F,1.056,9
2080,M,1.2095,9
2081,M,1.238,8
2082,F,1.644,10
2083,M,1.7725,11
2084,F,1.2525,12
2085,F,1.761,10
2086,F,1.3165,10
2087,M,1.914,11
2088,F,2.1,12
2089,F,1.6895,10
2090,M,2.032,17
2091,F,0.66,8
2092,M,0.7455,10
2093,F,0.616,11
2094,I,0.2825,7
2095,M,0.3355,7
2096,M,0.651,11
2097,M,0.361,7
2098,M,0.4775,8
2099,F,0.3465,10
2100,I,0.25,10
2101,M,0.66,19
2102,I,0.315,9
2103,M,0.276,9
2104,F,0.5395,11
2105,M,1.04,10
2106,M,1.041,14
2107,F,1.6885,15
2108,M,2.1835,27
2109,M,1.2105,13
2110,I,0.166,5
2111,I,0.452,9
2112,M,0.7185,8
2113,I,0.232,7
2114,I,0.0105,4
2115,I,0.0275,3
2116,I,0.1445,6
2117,F,0.282,7
2118,F,0.608,8
2119,I,0.433,9
2120,M,0.3295,7
2121,I,0.4555,9
2122,F,0.4585,11
2123,F,0.275,6
2124,M,0.335,7
2125,M,0.4265,8
2126,F,0.5765,10
2127,I,0.127,7
2128,M,1.1505,12
2129,M,0.8915,12
2130,M,0.97,9
2131,M,0.18,6
2132,F,0.6985,10
2133,M,0.4585,9
2134,F,0.4005,8
2135,M,0.7145,12
2136,F,0.932,9
2137,F,0.966,10
2138,F,0.9995,16
2139,M,1.496,14
2140,F,0.5065,10
2141,I,0.1735,7
2142,I,0.3945,9
2143,M,0.4665,10
2144,M,0.401,9
2145,F,0.3455,9
2146,M,0.5205,11
2147,M,0.4935,12
2148,M,0.3245,8
2149,M,0.106,7
2150,M,0.4415,10
2151,F,1.966,18
2152,F,0.3025,8
2153,I,0.1225,5
2154,M,0.879,10
2155,M,1.2275,16
2156,M,1.2715,12
2157,M,1.806,17
2158,M,0.8085,14
2159,F,1.3905,12
2160,M,1.8465,19
2161,F,2.1995,17
2162,F,1.817,11
2163,F,0.897,9
2164,M,0.3245,5
2165,F,1.136,9
2166,I,0.2735,6
2167,F,0.2405,5
2168,M,0.1545,6
2169,I,0.0145,4
2170,M,0.1185,7
2171,I,0.0295,6
2172,I,0.0385,5
2173,M,0.799,10
2174,F,1.1845,13
2175,M,0.925,12
2176,F,1.098,20
2177,F,1.071,14
2178,F,0.975,15
2179,F,1.283,14
2180,F,1.0595,21
2181,M,0.9195,16
2182,M,0.9295,13
2183,M,0.8085,6
2184,I,0.1485,6
2185,M,0.4475,9
2186,F,0.6865,9
2187,M,0.6335,14
2188,M,0.547,12
2189,F,0.585,10
2190,M,0.927,11
2191,M,1.4935,15
2192,F,1.0405,14
2193,I,0.0605,6
2194,I,0.3675,13
2195,I,0.099,5
2196,I,0.233,11
2197,I,0.3625,10
2198,I,0.081,6
2199,F,1.596,21
2200,F,1.4005,13
2201,F,1.406,25
2202,M,0.9245,19
2203,M,1.36,18
2204,M,0.43,7
2205,I,0.1365,6
2206,F,0.14,5
2207,M,0.4215,8
2208,F,1.5765,16
2209,F,1.2125,27
2210,M,1.6305,18
2211,M,1.142,17
2212,F,1.366,13
2213,M,1.539,17
2214,F,0.445,8
2215,F,0.5725,10
2216,I,0.19,7
2217,F,0.764,13
2218,M,0.853,14
2219,F,0.5885,13
2220,F,0.7875,8
2221,M,1.035,17
2222,F,1.352,13
2223,F,0.958,14
2224,F,0.797,9
2225,M,0.857,13
2226,I,0.2235,7
2227,I,0.086,7
2228,F,0.692,12
2229,M,0.2225,7
2230,M,0.7575,13
2231,F,0.729,9
2232,F,0.903,9
2233,M,1.0965,17
2234,F,0.903,14
2235,M,1.229,13
2236,F,1.106,15
2237,M,1.171,17
2238,I,0.444,8
2239,F,0.4755,8
2240,M,0.388,12
2241,F,0.3785,11
2242,F,0.486,7
2243,M,0.5265,10
2244,I,0.2275,11
2245,M,0.5105,9
2246,F,0.3105,10
2247,F,0.543,9
2248,M,0.2225,6
2249,F,0.998,12
2250,M,1.5455,11
2251,M,1.2675,13
2252,F,1.1,14
2253,F,1.4285,11
2254,M,1.793,14
2255,M,0.6185,12
2256,M,0.5825,8
2257,M,0.7485,13
2258,M,0.406,8
2259,F,1.1005,13
2260,M,0.869,10
2261,M,0.955,11
2262,F,0.9215,17
2263,F,1.456,13
2264,I,0.893,14
2265,F,2.226,13
2266,F,1.2125,14
2267,F,1.0675,15
2268,F,0.8525,13
2269,M,0.8615,12
2270,F,1.162,18
2271,F,0.8705,14
2272,M,1.598,15
2273,F,1.406,13
2274,M,2.033,15
2275,M,1.259,20
2276,F,1.0935,14
2277,F,1.1805,19
2278,M,0.7175,9
2279,M,0.7575,10
2280,M,0.487,9
2281,I,0.5705,8
2282,F,0.6905,10
2283,I,0.4475,7
2284,I,0.347,9
2285,I,0.352,9
2286,F,0.7145,9
2287,F,0.3315,7
2288,I,0.18,6
2289,F,0.974,10
2290,I,0.185,6
2291,M,0.563,10
2292,F,0.3215,9
2293,I,0.179,6
2294,M,0.702,12
2295,F,0.8045,10
2296,F,0.8075,13
2297,M,0.578,8
2298,I,0.385,7
2299,I,0.585,8
2300,F,0.6375,10
2301,F,0.813,10
2302,M,0.5735,9
2303,F,0.94,11
2304,M,1.008,11
2305,F,0.775,23
2306,F,1.1445,12
2307,F,0.6,16
2308,M,0.515,11
2309,M,0.5795,13
2310,F,0.384,13
2311,M,0.2965,7
2312,I,0.137,8
2313,M,0.991,16
2314,F,0.925,14
2315,M,0.805,17
2316,M,0.8915,13
2317,M,0.769,13
2318,F,0.6185,12
2319,F,0.6515,15
2320,I,0.2875,10
2321,M,0.5545,14
2322,M,0.7365,12
2323,I,0.306,8
2324,F,1.496,17
2325,F,0.3605,10
2326,M,0.3045,11
2327,M,0.592,13
2328,F,0.7995,15
2329,I,0.5825,15
2330,I,0.3435,9
2331,M,0.906,15
2332,F,0.6295,9
2333,M,1.5515,13
2334,F,2.526,23
2335,M,1.103,23
2336,F,0.957,18
2337,M,0.86,11
2338,M,1.62,17
2339,M,1.407,17
2340,F,0.9,11
2341,I,0.1455,7
2342,I,0.075,6
2343,I,0.0235,6
2344,M,1.247,21
2345,F,1.7265,17
2346,F,0.8025,13
2347,M,0.764,11
2348,M,0.8645,16
2349,F,0.4715,9
2350,F,0.631,12
2351,M,0.9455,19
2352,M,1.3185,18
2353,F,1.7265,17
2354,M,1.081,11
2355,M,0.9025,13
2356,M,1.1415,13
2357,M,1.027,17
2358,F,1.3445,20
2359,F,1.449,13
2360,F,0.7745,11
2361,M,0.7895,12
2362,F,1.3665,18
2363,M,1.0295,18
2364,F,1.031,15
2365,F,1.065,12
2366,M,1.885,19
2367,M,1.2425,15
2368,F,1.969,16
2369,I,0.9445,12
2370,I,0.354,8
2371,M,0.023,3
2372,F,0.3575,12
2373,F,0.5965,12
2374,I,0.383,12
2375,M,0.2065,10
2376,F,0.382,8
2377,I,0.6315,12
2378,I,0.3285,12
2379,F,0.2165,10
2380,M,0.0305,5
2381,M,0.024,5
2382,I,0.7365,11
2383,F,0.6005,16
2384,F,0.4285,11
2385,F,0.496,12
2386,F,0.6195,14
2387,I,0.567,11
2388,I,0.6505,10
2389,M,0.4495,11
2390,F,0.4485,16
2391,M,0.241,10
2392,M,0.197,10
2393,I,0.1425,7
2394,I,1.2395,14
2395,I,1.0385,14
2396,I,0.972,14
2397,I,1.3315,17
2398,I,0.762,14
2399,F,0.775,17
2400,I,0.437,13
2401,F,0.6985,12
2402,I,0.435,16
2403,M,0.1295,10
2404,I,0.8435,15
2405,I,1.25,15
2406,F,1.017,10
2407,I,1.411,12
2408,I,1.208,15
2409,F,1.0705,8
2410,F,0.5895,10
2411,I,0.537,9
2412,M,0.15,7
2413,F,0.651,12
2414,I,0.28,9
2415,M,0.287,10
2416,M,0.3525,18
2417,M,0.12,11
2418,F,0.494,18
2419,F,0.4765,10
2420,M,0.2145,13
2421,I,0.595,15
2422,F,0.4805,12
2423,F,0.321,10
2424,M,0.096,6
2425,I,0.9315,13
2426,I,0.782,14
2427,M,0.0945,6
2428,F,0.6695,10
2429,M,0.213,9
2430,I,0.525,11
2431,F,1.312,18
2432,F,1.087,11
2433,F,1.523,16
2434,I,1.319,16
2435,F,0.579,14
2436,M,0.8175,23
2437,I,0.17,9
2438,F,0.796,16
2439,F,0.197,9
2440,M,0.5255,13
2441,M,0.879,10
2442,M,0.4625,9
2443,F,0.4565,11
2444,M,0.528,9
2445,M,0.5835,12
2446,F,0.884,14
2447,I,0.096,6
2448,F,0.1855,7
2449,F,0.27,9
2450,F,0.463,10
2451,M,0.198,10
2452,M,0.282,9
2453,I,0.0995,8
2454,I,0.092,5
2455,I,0.0625,6
2456,I,0.073,5
2457,I,0.071,5
2458,I,0.036,4
2459,F,1.099,20
2460,M,0.5905,14
2461,F,0.768,13
2462,M,0.413,8
2463,M,0.8505,17
2464,F,0.6915,11
2465,M,0.709,11
2466,M,0.3755,9
2467,M,0.8185,16
2468,F,0.227,8
2469,M,0.8245,13
2470,M,1.1825,11
2471,M,1.122,20
2472,M,1.6115,14
2473,F,1.2985,14
2474,M,1.3,14
2475,F,1.161,12
2476,M,1.489,18
2477,M,1.008,13
2478,F,0.441,8
2479,F,0.742,14
2480,F,0.7,13
2481,M,0.271,8
2482,M,0.8565,12
2483,F,0.8975,14
2484,M,0.6105,14
2485,I,0.1925,8
2486,F,0.6635,13
2487,F,1.235,11
2488,M,0.7615,14
2489,M,0.592,15
2490,M,0.39,7
2491,F,0.7565,10
2492,F,0.57,11
2493,I,0.2865,8
2494,M,0.2935,9
2495,M,0.567,12
2496,F,0.6245,15
2497,M,0.8415,12
2498,M,0.7775,15
2499,M,0.989,19
2500,F,0.6905,12
2501,F,0.2,9
2502,I,0.109,5
2503,I,0.127,6
2504,I,0.2885,6
2505,I,0.18,6
2506,I,0.144,7
2507,I,0.4665,7
2508,I,0.33,6
2509,I,0.3625,6
2510,I,0.34,8
2511,I,0.365,6
2512,M,0.5,8
2513,F,0.6265,8
2514,I,0.5555,8
2515,F,0.6015,8
2516,I,0.53,10
